2022-10-30-11032100:0.255;0.414;1.362;-0.006;0.065;0.130;0.995;0.054;0.083;0.000;-6.970;-0.022;1.165;0.03133;-0.158
2022-10-30-11032100:0.255;0.419;1.372;-0.006;0.065;0.130;0.995;0.054;0.083;0.000;-6.975;-0.020;1.169;0.03134;-0.157
2022-10-30-11032100:0.254;0.423;1.381;-0.007;0.065;0.128;0.995;0.054;0.083;0.000;-6.979;-0.019;1.172;0.03135;-0.156
2022-10-30-11032100:0.254;0.428;1.390;-0.008;0.066;0.128;0.995;0.054;0.083;0.000;-6.983;-0.018;1.175;0.03136;-0.155
2022-10-30-11032100:0.253;0.434;1.402;-0.009;0.066;0.127;0.995;0.054;0.083;0.000;-6.989;-0.016;1.179;0.03137;-0.154
2022-10-30-11032100:0.252;0.439;1.411;-0.010;0.067;0.126;0.995;0.054;0.083;0.000;-6.992;-0.015;1.181;0.03138;-0.153
2022-10-30-11032100:0.252;0.444;1.420;-0.012;0.067;0.125;0.995;0.054;0.083;0.000;-6.996;-0.014;1.183;0.03138;-0.152
2022-10-30-11032100:0.250;0.450;1.432;-0.014;0.069;0.125;0.995;0.054;0.083;0.000;-7.002;-0.013;1.185;0.03139;-0.151
2022-10-30-11032100:0.249;0.455;1.441;-0.015;0.069;0.124;0.995;0.054;0.083;0.000;-7.005;-0.012;1.187;0.03140;-0.150
2022-10-30-11032100:0.248;0.460;1.450;-0.014;0.070;0.124;0.995;0.054;0.083;0.000;-7.008;-0.011;1.188;0.03140;-0.150
2022-10-30-11032200:0.223;0.445;1.566;-0.024;0.061;0.151;0.995;0.054;0.083;0.000;-7.013;-0.010;1.193;0.03141;-0.149
2022-10-30-11032200:0.221;0.450;1.577;-0.025;0.061;0.151;0.995;0.054;0.083;0.000;-7.017;-0.009;1.198;0.03142;-0.148
2022-10-30-11032200:0.219;0.454;1.588;-0.026;0.061;0.151;0.995;0.054;0.083;0.000;-7.021;-0.008;1.202;0.03142;-0.147
2022-10-30-11032200:0.217;0.458;1.598;-0.026;0.062;0.151;0.995;0.054;0.083;0.000;-7.024;-0.008;1.206;0.03143;-0.146
2022-10-30-11032200:0.215;0.465;1.614;-0.027;0.063;0.149;0.995;0.054;0.083;0.000;-7.028;-0.007;1.211;0.03144;-0.145
2022-10-30-11032200:0.213;0.469;1.624;-0.028;0.063;0.149;0.995;0.054;0.083;0.000;-7.031;-0.006;1.213;0.03144;-0.145
2022-10-30-11032200:0.211;0.473;1.634;-0.029;0.064;0.149;0.995;0.054;0.083;0.000;-7.033;-0.006;1.216;0.03145;-0.144
2022-10-30-11032200:0.208;0.480;1.649;-0.030;0.063;0.149;0.995;0.054;0.083;0.000;-7.037;-0.005;1.219;0.03145;-0.143
2022-10-30-11032200:0.206;0.484;1.659;-0.031;0.063;0.150;0.995;0.054;0.083;0.000;-7.039;-0.005;1.221;0.03146;-0.143
2022-10-30-11032200:0.204;0.488;1.670;-0.032;0.064;0.151;0.995;0.054;0.083;0.000;-7.042;-0.005;1.223;0.03146;-0.142
2022-10-30-11032200:0.200;0.495;1.685;-0.033;0.065;0.150;0.995;0.054;0.083;0.000;-7.045;-0.004;1.226;0.03146;-0.142
2022-10-30-11032200:0.198;0.500;1.696;-0.034;0.066;0.148;0.995;0.054;0.083;0.000;-7.047;-0.003;1.227;0.03147;-0.141
2022-10-30-11032200:0.195;0.504;1.706;-0.036;0.066;0.147;0.995;0.054;0.083;0.000;-7.050;-0.003;1.228;0.03147;-0.141
2022-10-30-11032300:0.169;0.540;1.847;-0.045;0.077;0.184;0.995;0.054;0.083;0.000;-7.054;-0.001;1.235;0.03148;-0.140
2022-10-30-11032300:0.165;0.546;1.863;-0.046;0.078;0.185;0.995;0.054;0.083;0.000;-7.057;0.001;1.240;0.03148;-0.139
2022-10-30-11032300:0.161;0.552;1.877;-0.046;0.079;0.185;0.995;0.054;0.083;0.000;-7.060;0.002;1.244;0.03149;-0.139
2022-10-30-11032300:0.158;0.558;1.891;-0.047;0.079;0.185;0.995;0.054;0.083;0.000;-7.062;0.003;1.248;0.03149;-0.138
2022-10-30-11032300:0.154;0.564;1.905;-0.048;0.079;0.186;0.995;0.054;0.083;0.000;-7.064;0.004;1.251;0.03150;-0.138
2022-10-30-11032300:0.151;0.570;1.918;-0.048;0.080;0.186;0.995;0.054;0.083;0.000;-7.066;0.005;1.254;0.03150;-0.137
2022-10-30-11032300:0.147;0.576;1.932;-0.049;0.080;0.187;0.995;0.054;0.083;0.000;-7.068;0.006;1.257;0.03150;-0.137
2022-10-30-11032300:0.142;0.584;1.951;-0.050;0.081;0.188;0.995;0.054;0.083;0.000;-7.071;0.007;1.261;0.03151;-0.137
2022-10-30-11032300:0.139;0.590;1.965;-0.051;0.082;0.188;0.995;0.054;0.083;0.000;-7.072;0.008;1.264;0.03151;-0.136
2022-10-30-11032300:0.135;0.596;1.978;-0.053;0.082;0.189;0.995;0.054;0.083;0.000;-7.074;0.008;1.266;0.03151;-0.136
2022-10-30-11032300:0.131;0.602;1.992;-0.054;0.082;0.189;0.995;0.054;0.083;0.000;-7.076;0.009;1.268;0.03151;-0.136
2022-10-30-11032300:0.126;0.608;2.008;-0.055;0.083;0.188;0.995;0.054;0.083;0.000;-7.078;0.009;1.269;0.03151;-0.135
2022-10-30-11032400:0.119;0.626;2.106;-0.056;0.087;0.210;0.995;0.054;0.083;0.000;-7.081;0.011;1.274;0.03152;-0.135
2022-10-30-11032400:0.115;0.633;2.121;-0.057;0.088;0.209;0.995;0.054;0.083;0.000;-7.083;0.013;1.279;0.03152;-0.135
2022-10-30-11032400:0.111;0.639;2.136;-0.059;0.088;0.211;0.995;0.054;0.083;0.000;-7.085;0.014;1.283;0.03152;-0.134
2022-10-30-11032400:0.106;0.646;2.153;-0.060;0.088;0.211;0.995;0.054;0.083;0.000;-7.087;0.014;1.287;0.03153;-0.134
2022-10-30-11032400:0.102;0.652;2.168;-0.060;0.087;0.211;0.995;0.054;0.083;0.000;-7.089;0.015;1.290;0.03153;-0.134
2022-10-30-11032400:0.096;0.661;2.188;-0.061;0.089;0.212;0.995;0.054;0.083;0.000;-7.091;0.016;1.294;0.03153;-0.133
2022-10-30-11032400:0.092;0.667;2.203;-0.061;0.089;0.213;0.995;0.054;0.083;0.000;-7.092;0.016;1.297;0.03153;-0.133
2022-10-30-11032400:0.087;0.674;2.220;-0.063;0.089;0.215;0.995;0.054;0.083;0.000;-7.094;0.017;1.300;0.03154;-0.133
2022-10-30-11032400:0.082;0.680;2.235;-0.064;0.091;0.216;0.995;0.054;0.083;0.000;-7.096;0.018;1.303;0.03154;-0.132
2022-10-30-11032400:0.076;0.689;2.257;-0.065;0.091;0.217;0.995;0.054;0.083;0.000;-7.098;0.020;1.306;0.03154;-0.132
